DESC_APRESENTACAO;DIAS;UND;UF
379;A;2022-09-02;500.0;SC
380;A;2022-09-12;1650.0;MA
381;A;2022-09-22;660.0;SC
382;A;2022-09-19;450.0;SC
383;A;2022-09-24;20.0;AL
384;A;2022-09-15;90.0;AL
385;A;2022-09-05;220.0;PE
386;A;2022-09-07;240.0;MA
387;A;2022-09-13;300.0;RN
388;A;2022-09-06;240.0;PR
389;A;2022-09-14;350.0;SC
390;A;2022-09-15;660.0;AM
391;A;2022-09-06;4390.0;PA
392;A;2022-09-21;770.0;SC
393;A;2022-09-08;280.0;PB
394;A;2022-09-23;100.0;PE
395;A;2022-09-19;110.0;SE
396;A;2022-09-15;300.0;RN
397;A;2022-09-09;660.0;SE
398;A;2022-09-09;3020.0;MA
399;A;2022-09-10;0.0;SP
400;A;2022-09-07;640.0;PA
401;A;2022-09-05;530.0;SE
402;A;2022-09-04;20.0;RN
403;A;2022-09-03;190.0;CE
404;A;2022-09-03;580.0;MA
405;A;2022-09-01;330.0;RN
406;A;2022-09-24;100.0;MG
407;A;2022-09-01;430.0;MG
408;A;2022-12-13;780.0;MG
409;A;2022-12-14;2280.0;PA
410;A;2022-12-11;20.0;PE
411;A;2022-12-12;2960.0;PA
412;A;2022-12-12;440.0;AM
413;A;2022-12-09;530.0;RS
414;A;2022-12-09;770.0;BA
415;A;2022-12-08;420.0;SC
416;A;2022-12-03;120.0;MG
417;A;2022-12-03;470.0;MA
418;A;2022-12-02;540.0;MG
419;A;2022-12-01;500.0;SE
420;A;2022-12-01;1790.0;MA
421;A;2023-02-08;380.0;RN
422;A;2023-01-31;470.0;AM
423;A;2023-01-02;520.0;MG
424;A;2022-12-26;490.0;SE
425;A;2023-02-22;780.0;SE
426;A;2023-01-09;2230.0;MA
427;A;2023-01-14;330.0;MA
428;A;2022-12-19;460.0;SC
429;A;2023-01-27;140.0;PR
430;A;2023-01-23;1130.0;BA
431;A;2023-01-02;360.0;BA
432;A;2023-01-31;-20.0;RJ
433;A;2022-08-25;290.0;MG
434;A;2022-08-18;160.0;PR
435;A;2022-08-01;200.0;AM
436;A;2022-08-31;70.0;PE
437;A;2022-04-20;290.0;AM
438;A;2022-10-17;100.0;RR
439;A;2022-10-14;340.0;MG
440;A;2022-07-03;10.0;PR
441;A;2022-07-05;1520.0;PA
442;A;2022-07-25;2390.0;PA
443;A;2022-07-07;1880.0;MA
444;A;2022-07-20;460.0;SE
445;A;2022-06-13;90.0;AL
446;A;2022-05-24;720.0;SE
447;A;2022-05-05;450.0;PB
448;A;2022-11-28;630.0;SC
449;A;2022-11-21;430.0;AM
450;A;2022-11-07;190.0;AM
451;A;2022-11-03;110.0;GO
452;A;2022-12-06;910.0;BA
453;A;2022-12-06;60.0;RR
454;A;2022-12-05;80.0;AL
455;A;2022-09-17;40.0;MT
456;A;2022-09-05;100.0;RN
457;A;2022-09-12;140.0;RS
458;A;2022-09-25;120.0;AM
459;A;2022-09-13;80.0;PE
460;B;2023-01-27;400.0;PA
461;C;2022-11-18;410.0;MA
462;B;2022-12-01;120.0;SE
463;C;2023-02-09;50.0;AM
464;C;2023-02-27;60.0;AM
465;C;2023-02-15;10.0;RN
466;B;2023-02-27;90.0;AM
467;B;2023-02-03;30.0;AM
468;C;2023-01-13;130.0;AM
469;B;2023-01-22;10.0;AM
470;B;2023-01-28;20.0;RN
471;B;2023-01-26;70.0;PE
472;C;2023-01-31;70.0;MG
473;B;2022-12-26;130.0;MG
474;B;2022-12-19;150.0;MG
475;B;2023-01-25;170.0;MG
476;B;2023-01-15;0.0;MG
477;C;2023-01-14;0.0;SE
478;C;2023-01-17;260.0;SE
479;C;2023-01-20;50.0;SE
480;C;2023-02-24;220.0;SE
481;C;2023-02-13;570.0;SE
482;C;2023-02-16;570.0;SE
483;C;2023-02-07;330.0;SE
484;C;2023-02-17;260.0;SE
485;C;2023-02-18;-10.0;SE
486;C;2023-02-23;410.0;SE
487;B;2023-01-17;50.0;RO
488;B;2023-02-01;40.0;MG
489;B;2023-02-09;200.0;MG
490;B;2023-02-19;30.0;CE
491;B;2023-02-03;80.0;CE
492;B;2022-12-29;190.0;CE
493;B;2023-01-19;90.0;CE
494;B;2023-01-20;30.0;CE
495;B;2023-02-12;50.0;SE
496;B;2023-02-25;160.0;SE
497;B;2023-02-23;650.0;SE
498;B;2023-02-06;240.0;SE
499;C;2023-02-03;800.0;PA
500;C;2023-02-17;1070.0;PA
501;C;2023-02-01;880.0;PA
502;C;2023-02-14;800.0;MA
503;C;2023-01-18;120.0;MA
504;B;2022-12-31;280.0;PA
505;B;2023-01-31;1620.0;PA
506;B;2023-01-25;620.0;PA
507;B;2023-01-12;40.0;RS
508;B;2023-01-23;20.0;RS
509;B;2023-02-28;50.0;RS
510;B;2023-02-04;0.0;RS
511;B;2023-01-08;280.0;PA
512;B;2022-12-26;130.0;MA
513;B;2023-02-23;960.0;PA
514;B;2023-02-07;1660.0;PA
515;B;2023-02-05;380.0;PA
516;B;2023-02-13;1230.0;PA
517;C;2023-02-09;0.0;PR
518;B;2023-01-09;110.0;SC
519;C;2023-01-20;-10.0;AC
520;B;2023-01-26;0.0;DF
521;B;2023-02-09;30.0;ES
522;B;2023-02-03;110.0;MA
523;B;2023-02-11;70.0;MA
524;B;2023-02-01;110.0;MA
525;B;2023-02-15;320.0;MA
526;B;2023-02-25;60.0;MA
527;B;2023-02-06;50.0;MA
528;B;2023-02-23;240.0;MA
529;C;2023-01-20;10.0;PR
530;C;2023-02-20;0.0;SC
531;B;2023-01-07;-10.0;TO
532;B;2022-12-19;130.0;SC
533;B;2022-12-29;150.0;SC
534;B;2022-12-30;110.0;SC
535;B;2023-02-11;-10.0;TO
536;B;2023-02-04;-10.0;TO
537;B;2023-01-18;120.0;BA
538;B;2023-01-02;50.0;BA
539;C;2023-01-07;0.0;PB
540;C;2023-02-04;0.0;PB
541;B;2023-02-28;380.0;BA
542;B;2023-02-21;0.0;BA
543;C;2023-01-30;130.0;SC
544;B;2023-02-23;260.0;SC
545;B;2023-02-15;150.0;SC
546;B;2023-02-02;190.0;SC
547;C;2023-01-20;60.0;BA
548;C;2023-01-23;170.0;BA
549;C;2023-01-02;200.0;BA
550;C;2023-01-17;340.0;BA
551;B;2022-12-22;50.0;AL
552;B;2023-01-23;30.0;AL
553;B;2023-01-22;30.0;PB
554;B;2022-05-25;20.0;BA
555;B;2022-05-23;0.0;BA
556;B;2022-06-03;80.0;PB
557;B;2022-05-16;170.0;SC
558;B;2022-05-06;80.0;SC
559;B;2022-05-12;60.0;PR
560;B;2022-06-09;20.0;SC
561;B;2022-05-04;1530.0;PA
562;B;2022-05-06;2040.0;PA
563;B;2022-05-04;10.0;RS
564;B;2022-05-03;150.0;AM
565;B;2022-05-17;90.0;RN
566;B;2022-05-30;130.0;MA
567;B;2022-05-31;110.0;MA
568;B;2022-05-03;150.0;SC
569;B;2022-05-07;40.0;RS
570;B;2022-05-12;200.0;SC
571;B;2022-05-18;140.0;SC
572;B;2022-05-11;150.0;AM
573;B;2022-05-07;200.0;AM
574;B;2022-05-10;80.0;RN
575;B;2022-06-08;30.0;CE
576;B;2022-05-27;3650.0;PA
577;B;2022-05-27;60.0;SC
578;B;2022-06-05;0.0;BA
579;B;2022-05-12;0.0;PI
580;B;2022-05-20;0.0;PI
581;B;2022-05-19;150.0;PB
582;B;2022-05-09;10.0;AP
583;B;2022-05-17;10.0;AL
584;B;2022-06-02;410.0;PA
585;B;2022-05-10;1570.0;PA
586;B;2022-05-23;970.0;PA
587;B;2022-05-08;-10.0;MG
588;B;2022-06-20;80.0;MG
589;B;2022-06-29;90.0;MG
590;B;2022-06-14;0.0;RS
591;B;2022-06-29;100.0;PB
592;B;2022-06-23;40.0;BA
593;B;2022-06-15;0.0;PR
594;B;2022-06-11;50.0;SC
595;B;2022-06-25;0.0;RN
596;B;2022-06-24;120.0;SE
597;B;2022-06-15;450.0;CE
598;B;2022-06-30;350.0;CE
599;B;2022-06-23;0.0;PR
600;B;2022-06-29;60.0;CE
601;B;2022-06-29;50.0;AM
602;B;2022-06-15;40.0;PE
603;B;2022-06-14;120.0;MG
604;C;2022-06-13;130.0;PA
605;C;2022-06-29;80.0;MA
606;C;2022-06-15;60.0;SE
607;C;2022-06-23;170.0;MA
608;B;2022-04-07;20.0;PR
609;B;2022-04-04;70.0;RO
610;B;2022-04-28;170.0;SC
611;B;2022-04-09;70.0;PR
612;B;2022-04-09;0.0;PE
613;B;2022-04-13;70.0;RN
614;B;2022-04-13;220.0;MG
615;B;2022-04-04;120.0;MG
616;B;2022-04-08;-10.0;RS
617;B;2022-04-09;60.0;PB
618;B;2022-04-30;50.0;RN
619;B;2022-04-07;70.0;CE
620;B;2022-04-06;140.0;MA
621;B;2022-04-09;0.0;ES
622;B;2022-04-27;40.0;PI
623;B;2022-04-07;10.0;RR
